id,text
199,"PWM_AUX_MIN1 (INT32) PWM Aux 1 Minimum Value Comment: Minimum output value (when not disarmed). [800, 1400] 1000"
200,"PWM_AUX_MIN10 (INT32) PWM Capture 2 Minimum Value Comment: Minimum output value (when not disarmed). [800, 1400] 1000"
201,"PWM_AUX_MIN11 (INT32) PWM Capture 3 Minimum Value Comment: Minimum output value (when not disarmed). [800, 1400] 1000"
202,"PWM_AUX_MIN2 (INT32) PWM Aux 2 Minimum Value Comment: Minimum output value (when not disarmed). [800, 1400] 1000"
203,"PWM_AUX_MIN3 (INT32) PWM Aux 3 Minimum Value Comment: Minimum output value (when not disarmed). [800, 1400] 1000"
204,"PWM_AUX_MIN4 (INT32) PWM Aux 4 Minimum Value Comment: Minimum output value (when not disarmed). [800, 1400] 1000"
205,"PWM_AUX_MIN5 (INT32) PWM Aux 5 Minimum Value Comment: Minimum output value (when not disarmed). [800, 1400] 1000"
206,"PWM_AUX_MIN6 (INT32) PWM Aux 6 Minimum Value Comment: Minimum output value (when not disarmed). [800, 1400] 1000"
207,"PWM_AUX_MIN7 (INT32) PWM Aux 7 Minimum Value Comment: Minimum output value (when not disarmed). [800, 1400] 1000"
208,"PWM_AUX_MIN8 (INT32) PWM Aux 8 Minimum Value Comment: Minimum output value (when not disarmed). [800, 1400] 1000"
209,"PWM_AUX_MIN9 (INT32) PWM Capture 1 Minimum Value Comment: Minimum output value (when not disarmed). [800, 1400] 1000"
210,"PWM_AUX_REV (INT32) Reverse Output Range for PWM AUX Comment: Allows to reverse the output range for each channel. Note: this is only useful for servos. Bitmask: 0: PWM Aux 1 1: PWM Aux 2 2: PWM Aux 3 3: PWM Aux 4 4: PWM Aux 5 5: PWM Aux 6 6: PWM Aux 7 7: PWM Aux 8 8: PWM Capture 1 9: PWM Capture 2 10: PWM Capture 3 [0, 2047] 0"
211,PWM_AUX_TIM0 (INT32) Output Protocol Configuration for PWM Aux 1-4 Comment: Select which Output Protocol to use for outputs PWM Aux 1-4. Custom PWM rates can be used by directly setting any value >0. Values: -5: DShot150 -4: DShot300 -3: DShot600 -2: DShot1200 -1: OneShot 50: PWM 50 Hz 100: PWM 100 Hz 200: PWM 200 Hz 400: PWM 400 Hz Reboot required: True 400
212,PWM_AUX_TIM1 (INT32) Output Protocol Configuration for PWM Aux 5-6 Comment: Select which Output Protocol to use for outputs PWM Aux 5-6. Custom PWM rates can be used by directly setting any value >0. Values: -1: OneShot 50: PWM 50 Hz 100: PWM 100 Hz 200: PWM 200 Hz 400: PWM 400 Hz Reboot required: True 400
213,PWM_AUX_TIM2 (INT32) Output Protocol Configuration for PWM Aux 7-8 Comment: Select which Output Protocol to use for outputs PWM Aux 7-8. Custom PWM rates can be used by directly setting any value >0. Values: -1: OneShot 50: PWM 50 Hz 100: PWM 100 Hz 200: PWM 200 Hz 400: PWM 400 Hz Reboot required: True 400
214,PWM_AUX_TIM3 (INT32) Output Protocol Configuration for PWM Capture 1-3 Comment: Select which Output Protocol to use for outputs PWM Capture 1-3. Custom PWM rates can be used by directly setting any value >0. Values: -1: OneShot 50: PWM 50 Hz 100: PWM 100 Hz 200: PWM 200 Hz 400: PWM 400 Hz Reboot required: True 400
215,"PWM_MAIN_DIS1 (INT32) MAIN 1 Disarmed Value Comment: This is the output value that is set when not armed. Note that non-motor outputs might already be active in prearm state if COM_PREARM_MODE is set. [800, 2200] 1000"
216,"PWM_MAIN_DIS2 (INT32) MAIN 2 Disarmed Value Comment: This is the output value that is set when not armed. Note that non-motor outputs might already be active in prearm state if COM_PREARM_MODE is set. [800, 2200] 1000"
217,"PWM_MAIN_DIS3 (INT32) MAIN 3 Disarmed Value Comment: This is the output value that is set when not armed. Note that non-motor outputs might already be active in prearm state if COM_PREARM_MODE is set. [800, 2200] 1000"
218,"PWM_MAIN_DIS4 (INT32) MAIN 4 Disarmed Value Comment: This is the output value that is set when not armed. Note that non-motor outputs might already be active in prearm state if COM_PREARM_MODE is set. [800, 2200] 1000"
219,"PWM_MAIN_DIS5 (INT32) MAIN 5 Disarmed Value Comment: This is the output value that is set when not armed. Note that non-motor outputs might already be active in prearm state if COM_PREARM_MODE is set. [800, 2200] 1000"
220,"PWM_MAIN_DIS6 (INT32) MAIN 6 Disarmed Value Comment: This is the output value that is set when not armed. Note that non-motor outputs might already be active in prearm state if COM_PREARM_MODE is set. [800, 2200] 1000"
221,"PWM_MAIN_DIS7 (INT32) MAIN 7 Disarmed Value Comment: This is the output value that is set when not armed. Note that non-motor outputs might already be active in prearm state if COM_PREARM_MODE is set. [800, 2200] 1000"
222,"PWM_MAIN_DIS8 (INT32) MAIN 8 Disarmed Value Comment: This is the output value that is set when not armed. Note that non-motor outputs might already be active in prearm state if COM_PREARM_MODE is set. [800, 2200] 1000"
223,"PWM_MAIN_FAIL1 (INT32) MAIN 1 Failsafe Value Comment: This is the output value that is set when in failsafe mode. When set to -1 (default), the value depends on the function (see PWM_MAIN_FUNC1). [-1, 2200] -1"
224,"PWM_MAIN_FAIL2 (INT32) MAIN 2 Failsafe Value Comment: This is the output value that is set when in failsafe mode. When set to -1 (default), the value depends on the function (see PWM_MAIN_FUNC2). [-1, 2200] -1"
225,"PWM_MAIN_FAIL3 (INT32) MAIN 3 Failsafe Value Comment: This is the output value that is set when in failsafe mode. When set to -1 (default), the value depends on the function (see PWM_MAIN_FUNC3). [-1, 2200] -1"
226,"PWM_MAIN_FAIL4 (INT32) MAIN 4 Failsafe Value Comment: This is the output value that is set when in failsafe mode. When set to -1 (default), the value depends on the function (see PWM_MAIN_FUNC4). [-1, 2200] -1"
227,"PWM_MAIN_FAIL5 (INT32) MAIN 5 Failsafe Value Comment: This is the output value that is set when in failsafe mode. When set to -1 (default), the value depends on the function (see PWM_MAIN_FUNC5). [-1, 2200] -1"
228,"PWM_MAIN_FAIL6 (INT32) MAIN 6 Failsafe Value Comment: This is the output value that is set when in failsafe mode. When set to -1 (default), the value depends on the function (see PWM_MAIN_FUNC6). [-1, 2200] -1"
229,"PWM_MAIN_FAIL7 (INT32) MAIN 7 Failsafe Value Comment: This is the output value that is set when in failsafe mode. When set to -1 (default), the value depends on the function (see PWM_MAIN_FUNC7). [-1, 2200] -1"
230,"PWM_MAIN_FAIL8 (INT32) MAIN 8 Failsafe Value Comment: This is the output value that is set when in failsafe mode. When set to -1 (default), the value depends on the function (see PWM_MAIN_FUNC8). [-1, 2200] -1"
231,PWM_MAIN_FUNC1 (INT32) MAIN 1 Output Function Comment: Select what should be output on MAIN 1. The default failsafe value is set according to the selected function: - 'Min' for ConstantMin - 'Max' for ConstantMax - 'Max' for Parachute - ('Max'+'Min')/2 for Servos - 'Disarmed' for the rest Values: 0: Disabled 1: Constant Min 2: Constant Max 101: Motor 1 102: Motor 2 103: Motor 3 104: Motor 4 105: Motor 5 106: Motor 6 107: Motor 7 108: Motor 8 109: Motor 9 110: Motor 10 111: Motor 11 112: Motor 12 201: Servo 1 202: Servo 2 203: Servo 3 204: Servo 4 205: Servo 5 206: Servo 6 207: Servo 7 208: Servo 8 301: Peripheral via Actuator Set 1 302: Peripheral via Actuator Set 2 303: Peripheral via Actuator Set 3 304: Peripheral via Actuator Set 4 305: Peripheral via Actuator Set 5 306: Peripheral via Actuator Set 6 400: Landing Gear 401: Parachute 402: RC Roll 403: RC Pitch 404: RC Throttle 405: RC Yaw 406: RC Flaps 407: RC AUX 1 408: RC AUX 2 409: RC AUX 3 410: RC AUX 4 411: RC AUX 5 412: RC AUX
232,6 420: Gimbal Roll 421: Gimbal Pitch 422: Gimbal Yaw 430: Gripper 440: Landing Gear Wheel 0
233,PWM_MAIN_FUNC2 (INT32) MAIN 2 Output Function Comment: Select what should be output on MAIN 2. The default failsafe value is set according to the selected function: - 'Min' for ConstantMin - 'Max' for ConstantMax - 'Max' for Parachute - ('Max'+'Min')/2 for Servos - 'Disarmed' for the rest Values: 0: Disabled 1: Constant Min 2: Constant Max 101: Motor 1 102: Motor 2 103: Motor 3 104: Motor 4 105: Motor 5 106: Motor 6 107: Motor 7 108: Motor 8 109: Motor 9 110: Motor 10 111: Motor 11 112: Motor 12 201: Servo 1 202: Servo 2 203: Servo 3 204: Servo 4 205: Servo 5 206: Servo 6 207: Servo 7 208: Servo 8 301: Peripheral via Actuator Set 1 302: Peripheral via Actuator Set 2 303: Peripheral via Actuator Set 3 304: Peripheral via Actuator Set 4 305: Peripheral via Actuator Set 5 306: Peripheral via Actuator Set 6 400: Landing Gear 401: Parachute 402: RC Roll 403: RC Pitch 404: RC Throttle 405: RC Yaw 406: RC Flaps 407: RC AUX 1 408: RC AUX 2 409: RC AUX 3 410: RC AUX 4 411: RC AUX 5 412: RC AUX
234,PWM_MAIN_FUNC3 (INT32) MAIN 3 Output Function Comment: Select what should be output on MAIN 3. The default failsafe value is set according to the selected function: - 'Min' for ConstantMin - 'Max' for ConstantMax - 'Max' for Parachute - ('Max'+'Min')/2 for Servos - 'Disarmed' for the rest Values: 0: Disabled 1: Constant Min 2: Constant Max 101: Motor 1 102: Motor 2 103: Motor 3 104: Motor 4 105: Motor 5 106: Motor 6 107: Motor 7 108: Motor 8 109: Motor 9 110: Motor 10 111: Motor 11 112: Motor 12 201: Servo 1 202: Servo 2 203: Servo 3 204: Servo 4 205: Servo 5 206: Servo 6 207: Servo 7 208: Servo 8 301: Peripheral via Actuator Set 1 302: Peripheral via Actuator Set 2 303: Peripheral via Actuator Set 3 304: Peripheral via Actuator Set 4 305: Peripheral via Actuator Set 5 306: Peripheral via Actuator Set 6 400: Landing Gear 401: Parachute 402: RC Roll 403: RC Pitch 404: RC Throttle 405: RC Yaw 406: RC Flaps 407: RC AUX 1 408: RC AUX 2 409: RC AUX 3 410: RC AUX 4 411: RC AUX 5 412: RC AUX
235,PWM_MAIN_FUNC4 (INT32) MAIN 4 Output Function Comment: Select what should be output on MAIN 4. The default failsafe value is set according to the selected function: - 'Min' for ConstantMin - 'Max' for ConstantMax - 'Max' for Parachute - ('Max'+'Min')/2 for Servos - 'Disarmed' for the rest Values: 0: Disabled 1: Constant Min 2: Constant Max 101: Motor 1 102: Motor 2 103: Motor 3 104: Motor 4 105: Motor 5 106: Motor 6 107: Motor 7 108: Motor 8 109: Motor 9 110: Motor 10 111: Motor 11 112: Motor 12 201: Servo 1 202: Servo 2 203: Servo 3 204: Servo 4 205: Servo 5 206: Servo 6 207: Servo 7 208: Servo 8 301: Peripheral via Actuator Set 1 302: Peripheral via Actuator Set 2 303: Peripheral via Actuator Set 3 304: Peripheral via Actuator Set 4 305: Peripheral via Actuator Set 5 306: Peripheral via Actuator Set 6 400: Landing Gear 401: Parachute 402: RC Roll 403: RC Pitch 404: RC Throttle 405: RC Yaw 406: RC Flaps 407: RC AUX 1 408: RC AUX 2 409: RC AUX 3 410: RC AUX 4 411: RC AUX 5 412: RC AUX
236,PWM_MAIN_FUNC5 (INT32) MAIN 5 Output Function Comment: Select what should be output on MAIN 5. The default failsafe value is set according to the selected function: - 'Min' for ConstantMin - 'Max' for ConstantMax - 'Max' for Parachute - ('Max'+'Min')/2 for Servos - 'Disarmed' for the rest Values: 0: Disabled 1: Constant Min 2: Constant Max 101: Motor 1 102: Motor 2 103: Motor 3 104: Motor 4 105: Motor 5 106: Motor 6 107: Motor 7 108: Motor 8 109: Motor 9 110: Motor 10 111: Motor 11 112: Motor 12 201: Servo 1 202: Servo 2 203: Servo 3 204: Servo 4 205: Servo 5 206: Servo 6 207: Servo 7 208: Servo 8 301: Peripheral via Actuator Set 1 302: Peripheral via Actuator Set 2 303: Peripheral via Actuator Set 3 304: Peripheral via Actuator Set 4 305: Peripheral via Actuator Set 5 306: Peripheral via Actuator Set 6 400: Landing Gear 401: Parachute 402: RC Roll 403: RC Pitch 404: RC Throttle 405: RC Yaw 406: RC Flaps 407: RC AUX 1 408: RC AUX 2 409: RC AUX 3 410: RC AUX 4 411: RC AUX 5 412: RC AUX
237,PWM_MAIN_FUNC6 (INT32) MAIN 6 Output Function Comment: Select what should be output on MAIN 6. The default failsafe value is set according to the selected function: - 'Min' for ConstantMin - 'Max' for ConstantMax - 'Max' for Parachute - ('Max'+'Min')/2 for Servos - 'Disarmed' for the rest Values: 0: Disabled 1: Constant Min 2: Constant Max 101: Motor 1 102: Motor 2 103: Motor 3 104: Motor 4 105: Motor 5 106: Motor 6 107: Motor 7 108: Motor 8 109: Motor 9 110: Motor 10 111: Motor 11 112: Motor 12 201: Servo 1 202: Servo 2 203: Servo 3 204: Servo 4 205: Servo 5 206: Servo 6 207: Servo 7 208: Servo 8 301: Peripheral via Actuator Set 1 302: Peripheral via Actuator Set 2 303: Peripheral via Actuator Set 3 304: Peripheral via Actuator Set 4 305: Peripheral via Actuator Set 5 306: Peripheral via Actuator Set 6 400: Landing Gear 401: Parachute 402: RC Roll 403: RC Pitch 404: RC Throttle 405: RC Yaw 406: RC Flaps 407: RC AUX 1 408: RC AUX 2 409: RC AUX 3 410: RC AUX 4 411: RC AUX 5 412: RC AUX
238,PWM_MAIN_FUNC7 (INT32) MAIN 7 Output Function Comment: Select what should be output on MAIN 7. The default failsafe value is set according to the selected function: - 'Min' for ConstantMin - 'Max' for ConstantMax - 'Max' for Parachute - ('Max'+'Min')/2 for Servos - 'Disarmed' for the rest Values: 0: Disabled 1: Constant Min 2: Constant Max 101: Motor 1 102: Motor 2 103: Motor 3 104: Motor 4 105: Motor 5 106: Motor 6 107: Motor 7 108: Motor 8 109: Motor 9 110: Motor 10 111: Motor 11 112: Motor 12 201: Servo 1 202: Servo 2 203: Servo 3 204: Servo 4 205: Servo 5 206: Servo 6 207: Servo 7 208: Servo 8 301: Peripheral via Actuator Set 1 302: Peripheral via Actuator Set 2 303: Peripheral via Actuator Set 3 304: Peripheral via Actuator Set 4 305: Peripheral via Actuator Set 5 306: Peripheral via Actuator Set 6 400: Landing Gear 401: Parachute 402: RC Roll 403: RC Pitch 404: RC Throttle 405: RC Yaw 406: RC Flaps 407: RC AUX 1 408: RC AUX 2 409: RC AUX 3 410: RC AUX 4 411: RC AUX 5 412: RC AUX
239,PWM_MAIN_FUNC8 (INT32) MAIN 8 Output Function Comment: Select what should be output on MAIN 8. The default failsafe value is set according to the selected function: - 'Min' for ConstantMin - 'Max' for ConstantMax - 'Max' for Parachute - ('Max'+'Min')/2 for Servos - 'Disarmed' for the rest Values: 0: Disabled 1: Constant Min 2: Constant Max 101: Motor 1 102: Motor 2 103: Motor 3 104: Motor 4 105: Motor 5 106: Motor 6 107: Motor 7 108: Motor 8 109: Motor 9 110: Motor 10 111: Motor 11 112: Motor 12 201: Servo 1 202: Servo 2 203: Servo 3 204: Servo 4 205: Servo 5 206: Servo 6 207: Servo 7 208: Servo 8 301: Peripheral via Actuator Set 1 302: Peripheral via Actuator Set 2 303: Peripheral via Actuator Set 3 304: Peripheral via Actuator Set 4 305: Peripheral via Actuator Set 5 306: Peripheral via Actuator Set 6 400: Landing Gear 401: Parachute 402: RC Roll 403: RC Pitch 404: RC Throttle 405: RC Yaw 406: RC Flaps 407: RC AUX 1 408: RC AUX 2 409: RC AUX 3 410: RC AUX 4 411: RC AUX 5 412: RC AUX
240,"PWM_MAIN_MAX1 (INT32) MAIN 1 Maximum Value Comment: Maxmimum output value (when not disarmed). [1600, 2200] 2000"
241,"PWM_MAIN_MAX2 (INT32) MAIN 2 Maximum Value Comment: Maxmimum output value (when not disarmed). [1600, 2200] 2000"
242,"PWM_MAIN_MAX3 (INT32) MAIN 3 Maximum Value Comment: Maxmimum output value (when not disarmed). [1600, 2200] 2000"
243,"PWM_MAIN_MAX4 (INT32) MAIN 4 Maximum Value Comment: Maxmimum output value (when not disarmed). [1600, 2200] 2000"
244,"PWM_MAIN_MAX5 (INT32) MAIN 5 Maximum Value Comment: Maxmimum output value (when not disarmed). [1600, 2200] 2000"
245,"PWM_MAIN_MAX6 (INT32) MAIN 6 Maximum Value Comment: Maxmimum output value (when not disarmed). [1600, 2200] 2000"
246,"PWM_MAIN_MAX7 (INT32) MAIN 7 Maximum Value Comment: Maxmimum output value (when not disarmed). [1600, 2200] 2000"
247,"PWM_MAIN_MAX8 (INT32) MAIN 8 Maximum Value Comment: Maxmimum output value (when not disarmed). [1600, 2200] 2000"
248,"PWM_MAIN_MIN1 (INT32) MAIN 1 Minimum Value Comment: Minimum output value (when not disarmed). [800, 1400] 1000"
249,"PWM_MAIN_MIN2 (INT32) MAIN 2 Minimum Value Comment: Minimum output value (when not disarmed). [800, 1400] 1000"
250,"PWM_MAIN_MIN3 (INT32) MAIN 3 Minimum Value Comment: Minimum output value (when not disarmed). [800, 1400] 1000"
251,"PWM_MAIN_MIN4 (INT32) MAIN 4 Minimum Value Comment: Minimum output value (when not disarmed). [800, 1400] 1000"
252,"PWM_MAIN_MIN5 (INT32) MAIN 5 Minimum Value Comment: Minimum output value (when not disarmed). [800, 1400] 1000"
253,"PWM_MAIN_MIN6 (INT32) MAIN 6 Minimum Value Comment: Minimum output value (when not disarmed). [800, 1400] 1000"
254,"PWM_MAIN_MIN7 (INT32) MAIN 7 Minimum Value Comment: Minimum output value (when not disarmed). [800, 1400] 1000"
255,"PWM_MAIN_MIN8 (INT32) MAIN 8 Minimum Value Comment: Minimum output value (when not disarmed). [800, 1400] 1000"
256,"PWM_MAIN_REV (INT32) Reverse Output Range for PWM MAIN Comment: Allows to reverse the output range for each channel. Note: this is only useful for servos. Bitmask: 0: MAIN 1 1: MAIN 2 2: MAIN 3 3: MAIN 4 4: MAIN 5 5: MAIN 6 6: MAIN 7 7: MAIN 8 [0, 255] 0"
257,PWM_MAIN_TIM0 (INT32) Output Protocol Configuration for MAIN 1-2 Comment: Select which Output Protocol to use for outputs MAIN 1-2. Custom PWM rates can be used by directly setting any value >0. Values: -1: OneShot 50: PWM 50 Hz 100: PWM 100 Hz 200: PWM 200 Hz 400: PWM 400 Hz Reboot required: True 400
258,PWM_MAIN_TIM1 (INT32) Output Protocol Configuration for MAIN 3-4 Comment: Select which Output Protocol to use for outputs MAIN 3-4. Custom PWM rates can be used by directly setting any value >0. Values: -1: OneShot 50: PWM 50 Hz 100: PWM 100 Hz 200: PWM 200 Hz 400: PWM 400 Hz Reboot required: True 400
259,PWM_MAIN_TIM2 (INT32) Output Protocol Configuration for MAIN 5-8 Comment: Select which Output Protocol to use for outputs MAIN 5-8. Custom PWM rates can be used by directly setting any value >0. Values: -1: OneShot 50: PWM 50 Hz 100: PWM 100 Hz 200: PWM 200 Hz 400: PWM 400 Hz Reboot required: True 400
260,"RBCLW_DIS1 (INT32) Roboclaw Driver Channel 1 Disarmed Value Comment: This is the output value that is set when not armed. Note that non-motor outputs might already be active in prearm state if COM_PREARM_MODE is set. [128, 128] 128"
261,"RBCLW_DIS2 (INT32) Roboclaw Driver Channel 2 Disarmed Value Comment: This is the output value that is set when not armed. Note that non-motor outputs might already be active in prearm state if COM_PREARM_MODE is set. [128, 128] 128"
262,"RBCLW_FAIL1 (INT32) Roboclaw Driver Channel 1 Failsafe Value Comment: This is the output value that is set when in failsafe mode. When set to -1 (default), the value depends on the function (see RBCLW_FUNC1). [-1, 257] -1"
263,"RBCLW_FAIL2 (INT32) Roboclaw Driver Channel 2 Failsafe Value Comment: This is the output value that is set when in failsafe mode. When set to -1 (default), the value depends on the function (see RBCLW_FUNC2). [-1, 257] -1"
264,RBCLW_FUNC1 (INT32) Roboclaw Driver Channel 1 Output Function Comment: Select what should be output on Roboclaw Driver Channel 1. The default failsafe value is set according to the selected function: - 'Min' for ConstantMin - 'Max' for ConstantMax - 'Max' for Parachute - ('Max'+'Min')/2 for Servos - 'Disarmed' for the rest Values: 0: Disabled 1: Constant Min 2: Constant Max 101: Motor 1 102: Motor 2 103: Motor 3 104: Motor 4 105: Motor 5 106: Motor 6 107: Motor 7 108: Motor 8 109: Motor 9 110: Motor 10 111: Motor 11 112: Motor 12 201: Servo 1 202: Servo 2 203: Servo 3 204: Servo 4 205: Servo 5 206: Servo 6 207: Servo 7 208: Servo 8 301: Peripheral via Actuator Set 1 302: Peripheral via Actuator Set 2 303: Peripheral via Actuator Set 3 304: Peripheral via Actuator Set 4 305: Peripheral via Actuator Set 5 306: Peripheral via Actuator Set 6 400: Landing Gear 401: Parachute 402: RC Roll 403: RC Pitch 404: RC Throttle 405: RC Yaw 406: RC Flaps 407: RC AUX 1 408: RC AUX 2 409: RC AUX 3 410:
265,RBCLW_FUNC2 (INT32) Roboclaw Driver Channel 2 Output Function Comment: Select what should be output on Roboclaw Driver Channel 2. The default failsafe value is set according to the selected function: - 'Min' for ConstantMin - 'Max' for ConstantMax - 'Max' for Parachute - ('Max'+'Min')/2 for Servos - 'Disarmed' for the rest Values: 0: Disabled 1: Constant Min 2: Constant Max 101: Motor 1 102: Motor 2 103: Motor 3 104: Motor 4 105: Motor 5 106: Motor 6 107: Motor 7 108: Motor 8 109: Motor 9 110: Motor 10 111: Motor 11 112: Motor 12 201: Servo 1 202: Servo 2 203: Servo 3 204: Servo 4 205: Servo 5 206: Servo 6 207: Servo 7 208: Servo 8 301: Peripheral via Actuator Set 1 302: Peripheral via Actuator Set 2 303: Peripheral via Actuator Set 3 304: Peripheral via Actuator Set 4 305: Peripheral via Actuator Set 5 306: Peripheral via Actuator Set 6 400: Landing Gear 401: Parachute 402: RC Roll 403: RC Pitch 404: RC Throttle 405: RC Yaw 406: RC Flaps 407: RC AUX 1 408: RC AUX 2 409: RC AUX 3 410:
266,"RBCLW_MAX1 (INT32) Roboclaw Driver Channel 1 Maximum Value Comment: Maxmimum output value (when not disarmed). [128, 256] 256"
267,"RBCLW_MAX2 (INT32) Roboclaw Driver Channel 2 Maximum Value Comment: Maxmimum output value (when not disarmed). [128, 256] 256"
268,"RBCLW_MIN1 (INT32) Roboclaw Driver Channel 1 Minimum Value Comment: Minimum output value (when not disarmed). [1, 128] 1"
269,"RBCLW_MIN2 (INT32) Roboclaw Driver Channel 2 Minimum Value Comment: Minimum output value (when not disarmed). [1, 128] 1"
270,"RBCLW_REV (INT32) Reverse Output Range for Roboclaw Driver Comment: Allows to reverse the output range for each channel. Note: this is only useful for servos. Bitmask: 0: Roboclaw Driver Channel 1 1: Roboclaw Driver Channel 2 [0, 3] 0"
271,"SIM_GZ_EC_DIS1 (INT32) SIM_GZ ESC 1 Disarmed Value Comment: This is the output value that is set when not armed. Note that non-motor outputs might already be active in prearm state if COM_PREARM_MODE is set. [0, 1000] 0"
272,"SIM_GZ_EC_DIS2 (INT32) SIM_GZ ESC 2 Disarmed Value Comment: This is the output value that is set when not armed. Note that non-motor outputs might already be active in prearm state if COM_PREARM_MODE is set. [0, 1000] 0"
273,"SIM_GZ_EC_DIS3 (INT32) SIM_GZ ESC 3 Disarmed Value Comment: This is the output value that is set when not armed. Note that non-motor outputs might already be active in prearm state if COM_PREARM_MODE is set. [0, 1000] 0"
274,"SIM_GZ_EC_DIS4 (INT32) SIM_GZ ESC 4 Disarmed Value Comment: This is the output value that is set when not armed. Note that non-motor outputs might already be active in prearm state if COM_PREARM_MODE is set. [0, 1000] 0"
275,"SIM_GZ_EC_DIS5 (INT32) SIM_GZ ESC 5 Disarmed Value Comment: This is the output value that is set when not armed. Note that non-motor outputs might already be active in prearm state if COM_PREARM_MODE is set. [0, 1000] 0"
276,"SIM_GZ_EC_DIS6 (INT32) SIM_GZ ESC 6 Disarmed Value Comment: This is the output value that is set when not armed. Note that non-motor outputs might already be active in prearm state if COM_PREARM_MODE is set. [0, 1000] 0"
277,"SIM_GZ_EC_DIS7 (INT32) SIM_GZ ESC 7 Disarmed Value Comment: This is the output value that is set when not armed. Note that non-motor outputs might already be active in prearm state if COM_PREARM_MODE is set. [0, 1000] 0"
278,"SIM_GZ_EC_DIS8 (INT32) SIM_GZ ESC 8 Disarmed Value Comment: This is the output value that is set when not armed. Note that non-motor outputs might already be active in prearm state if COM_PREARM_MODE is set. [0, 1000] 0"
279,"SIM_GZ_EC_FAIL1 (INT32) SIM_GZ ESC 1 Failsafe Value Comment: This is the output value that is set when in failsafe mode. When set to -1 (default), the value depends on the function (see SIM_GZ_EC_FUNC1). [-1, 1000] -1"
280,"SIM_GZ_EC_FAIL2 (INT32) SIM_GZ ESC 2 Failsafe Value Comment: This is the output value that is set when in failsafe mode. When set to -1 (default), the value depends on the function (see SIM_GZ_EC_FUNC2). [-1, 1000] -1"
281,"SIM_GZ_EC_FAIL3 (INT32) SIM_GZ ESC 3 Failsafe Value Comment: This is the output value that is set when in failsafe mode. When set to -1 (default), the value depends on the function (see SIM_GZ_EC_FUNC3). [-1, 1000] -1"
282,"SIM_GZ_EC_FAIL4 (INT32) SIM_GZ ESC 4 Failsafe Value Comment: This is the output value that is set when in failsafe mode. When set to -1 (default), the value depends on the function (see SIM_GZ_EC_FUNC4). [-1, 1000] -1"
283,"SIM_GZ_EC_FAIL5 (INT32) SIM_GZ ESC 5 Failsafe Value Comment: This is the output value that is set when in failsafe mode. When set to -1 (default), the value depends on the function (see SIM_GZ_EC_FUNC5). [-1, 1000] -1"
284,"SIM_GZ_EC_FAIL6 (INT32) SIM_GZ ESC 6 Failsafe Value Comment: This is the output value that is set when in failsafe mode. When set to -1 (default), the value depends on the function (see SIM_GZ_EC_FUNC6). [-1, 1000] -1"
285,"SIM_GZ_EC_FAIL7 (INT32) SIM_GZ ESC 7 Failsafe Value Comment: This is the output value that is set when in failsafe mode. When set to -1 (default), the value depends on the function (see SIM_GZ_EC_FUNC7). [-1, 1000] -1"
286,"SIM_GZ_EC_FAIL8 (INT32) SIM_GZ ESC 8 Failsafe Value Comment: This is the output value that is set when in failsafe mode. When set to -1 (default), the value depends on the function (see SIM_GZ_EC_FUNC8). [-1, 1000] -1"
287,SIM_GZ_EC_FUNC1 (INT32) SIM_GZ ESC 1 Output Function Comment: Select what should be output on SIM_GZ ESC 1. The default failsafe value is set according to the selected function: - 'Min' for ConstantMin - 'Max' for ConstantMax - 'Max' for Parachute - ('Max'+'Min')/2 for Servos - 'Disarmed' for the rest Values: 0: Disabled 1: Constant Min 2: Constant Max 101: Motor 1 102: Motor 2 103: Motor 3 104: Motor 4 105: Motor 5 106: Motor 6 107: Motor 7 108: Motor 8 109: Motor 9 110: Motor 10 111: Motor 11 112: Motor 12 201: Servo 1 202: Servo 2 203: Servo 3 204: Servo 4 205: Servo 5 206: Servo 6 207: Servo 7 208: Servo 8 301: Peripheral via Actuator Set 1 302: Peripheral via Actuator Set 2 303: Peripheral via Actuator Set 3 304: Peripheral via Actuator Set 4 305: Peripheral via Actuator Set 5 306: Peripheral via Actuator Set 6 400: Landing Gear 401: Parachute 402: RC Roll 403: RC Pitch 404: RC Throttle 405: RC Yaw 406: RC Flaps 407: RC AUX 1 408: RC AUX 2 409: RC AUX 3 410: RC AUX 4 411: RC AUX 5
288,412: RC AUX 6 420: Gimbal Roll 421: Gimbal Pitch 422: Gimbal Yaw 430: Gripper 440: Landing Gear Wheel 0
